"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C7, C10, C17, C23, C28","6","2.2u","Capacitor_SMD:C_0402_1005Metric",""
"2","C2, C3, C4, C5, C6, C8, C9, C13, C14, C18, C20, C22, C24, C25, C26, C27","16","100n","Capacitor_SMD:C_0402_1005Metric",""
"3","C11, C12, C19, C21","4","27p","Capacitor_SMD:C_0402_1005Metric",""
"4","C15, C16","2","22p","Capacitor_SMD:C_0402_1005Metric",""
"5","FINGER1, FINGER2, FINGER3, FINGER4, FINGER5L1, FINGER5R1, USB1, USB2","8","Conn_01x04","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",""
"6","FingerAux1","1","Conn_01x08","Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",""
"7","J1","1","Conn_01x25","my_connectors:25PIN FRONT FLIP 0.6mm PITCH AYF332535A",""
"8","R1, R8","2","200","Resistor_SMD:R_0402_1005Metric",""
"9","R2, R7, R9, R10","4","1k","Resistor_SMD:R_0402_1005Metric",""
"10","R3, R4","2","10k","Resistor_SMD:R_0402_1005Metric",""
"11","R5, R6","2","2k2","Resistor_SMD:R_0402_1005Metric",""
"12","U1, U5","2","RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",""
"13","U2, U4","2","MX25L3233FM2","Package_SO:SOP-8_5.28x5.23mm_P1.27mm",""
"14","U3","1","~","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm",""
"15","Y1, Y2","2","12.000MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
"16","Y3","1","32.768kHz","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm",""
